,name,number_of_vehicles,ambulance_arrival_time
0,RC,225,62
1,SR,450,134
2,RC,225,65
3,RC,675,106
4,AP,225,143
5,RC,675,128
6,SR,225,89
7,AP,675,121
8,AS,450,264
9,SR,675,211
10,AP,450,332
11,AS,450,57
12,AP,675,320
13,AP,450,150
14,SR,225,102
15,RC,225,50
16,SR,450,249
17,SR,225,194
18,RC,675,262
19,SR,450,261
20,EH,225,132
21,RC,675,109
22,AS,225,114
23,RC,225,63
24,AS,450,261
25,AS,225,82
26,AS,225,56
27,RC,225,54
28,SR,675,147
29,AS,225,56
30,RC,225,65
31,AP,675,208
32,AS,225,279
33,SR,450,135
34,EH,225,133
35,AS,225,96
36,AS,225,64
37,AP,675,178
38,AS,225,95
39,AS,675,151
40,RC,675,76
41,RC,450,272
42,EH,225,136
43,EH,225,129
44,SR,225,85
45,AP,450,318
46,AS,450,62
47,EH,450,321
48,AP,675,112
49,SR,225,133
50,RC,675,165
51,AS,225,88
52,EH,450,138
53,RC,450,53
54,AS,450,56
55,RC,450,261
56,AP,450,146
57,EH,450,321
58,EH,450,311
59,EH,675,141
60,EH,225,132
61,SR,225,134
62,SR,225,94
63,EH,225,133
64,SR,225,123
65,AP,225,141
66,SR,675,141
67,EH,225,134
68,AP,225,148
69,EH,225,134
70,AP,225,145
71,AP,225,113
72,SR,675,215
73,RC,225,53
74,RC,225,293
75,AP,675,118
76,RC,450,68
77,RC,225,62
78,RC,450,61
79,AP,675,116
80,EH,675,147
81,AP,450,234
82,AP,225,148
83,AP,225,145
84,RC,225,353
85,AP,450,86
86,EH,675,137
87,SR,675,212
88,RC,450,92
89,EH,450,320
90,AP,225,146
91,AP,450,358
92,AS,450,85
93,AP,675,208
94,EH,450,134
95,AP,225,340
96,EH,450,321
97,SR,225,190
98,AS,675,99
99,AS,225,54
100,SR,675,138
101,RC,675,276
102,AS,675,83
103,RC,675,128
104,AP,675,392
105,EH,450,324
106,RC,225,57
107,AS,225,60
108,AP,450,508
109,SR,675,323
110,AP,675,132
111,EH,225,134
112,AS,225,81
113,AS,675,127
114,RC,675,162
115,SR,450,204
116,RC,450,257
117,EH,450,138
118,EH,225,134
119,SR,675,138
120,EH,450,320
121,AS,675,67
122,SR,675,431
123,AS,225,74
124,AS,450,118
125,EH,225,137
126,AS,225,105
127,AS,225,115
128,RC,450,259
129,AP,225,134
130,AS,225,122
131,SR,225,94
132,AP,225,142
133,SR,675,107
134,AS,450,264
135,AS,675,297
136,AP,450,192
137,AS,450,274
138,AS,225,274
139,AS,225,83
140,RC,450,274
141,EH,675,320
142,RC,225,62
143,AS,675,89
144,RC,675,116
145,SR,675,325
146,SR,450,320
147,AS,450,300
148,EH,450,132
149,SR,225,100
150,SR,225,134
151,SR,225,106
152,SR,675,210
153,AS,675,250
154,AP,450,84
155,RC,450,262
156,SR,225,137
157,AP,450,320
158,SR,450,390
159,RC,450,66
160,AS,675,65
161,RC,450,484
162,EH,675,143
163,AS,675,124
164,RC,675,278
165,RC,225,62
166,EH,450,137
167,EH,675,326
168,SR,675,105
169,AS,225,57
170,SR,225,128
171,AS,225,123
172,EH,450,326
173,RC,675,275
174,AP,675,86
175,EH,450,135
176,RC,225,72
177,EH,675,138
178,SR,675,442
179,AS,675,102
180,RC,225,47
181,AS,675,74
182,SR,450,311
183,AS,675,100
184,SR,675,221
185,SR,450,136
186,SR,450,190
187,AS,450,83
188,AP,450,84
189,SR,675,192
190,EH,225,134
191,AP,225,282
192,SR,450,251
193,AP,225,137
194,EH,225,135
195,RC,225,60
196,SR,225,99
197,AS,450,261
198,EH,225,133
199,EH,450,319
200,AS,225,54
201,EH,225,134
202,AP,675,167
203,AP,675,111
204,RC,450,291
205,AP,225,141
206,EH,675,140
207,EH,675,137
208,AS,450,103
209,EH,675,138
210,EH,675,135
211,RC,450,260
212,AP,450,376
213,AS,225,85
214,SR,225,85
215,EH,675,140
216,AP,675,-1
217,AP,225,84
218,AP,675,190
219,RC,675,292
220,AS,675,128
221,RC,675,65
222,SR,450,321
223,SR,225,135
224,AP,450,86
225,EH,675,138
226,AS,450,112
227,SR,675,224
228,AP,450,319
229,RC,450,264
230,EH,675,135
231,RC,225,92
232,SR,225,107
233,EH,225,135
234,RC,675,145
235,RC,675,129
236,AS,675,79
237,RC,675,168
238,AP,675,390
239,AS,450,285
